Country,Country_code,Year,Electricity,Net_income_per_cap,Children_out_school,GDP,GDP_per_cap,Fem_parliam,Renew_output,Renew_consum,Undernour,Poverty,2_G,3_G,Water,Unemp_male,Unemp_fem,Continent,Gini,Income_class,Internet,Life_exp,Population,Rural_pop,Urban_pop,Region
Angola,AGO,2011,34.6,14.85685285,18.40073013,1.1179E+11,4615.468219,38.18181818,70.90780393,49.23920059,17.2,,,40,51,7,7.7,Africa,,Upper-middle_income,3.1,56.33,24220660,39.472,60.528,Sub-Saharan_Africa
Angola,AGO,2012,37.10102463,9.899725971,,1.28053E+11,5100.097027,34.09090909,60.7994842,49.44329834,16.3,,,47,,,,Africa,,Upper-middle_income,6.5,57.236,25107925,38.732,61.268,Sub-Saharan_Africa
Angola,AGO,2013,38.24899292,6.000509557,,1.3671E+11,5254.881126,34.09090909,58.02093476,47.93849945,15,,90,53,,,,Africa,,Upper-middle_income,8.9,58.054,26015786,37.998,62.002,Sub-Saharan_Africa
Angola,AGO,2014,32,4.921015676,,1.45712E+11,5408.4117,36.81818182,53.17510549,48.2112999,14.2,,92,46,54,10,9.1,Africa,,Upper-middle_income,21.4,58.776,26941773,37.269,62.731,Sub-Saharan_Africa
Angola,AGO,2015,42,-2.743455911,,1.16194E+11,4166.979833,36.81818182,53.17492831,47.81560135,14.5,,99,60.67,,,,Africa,,Upper-middle_income,29,59.398,27884380,36.554,63.446,Sub-Saharan_Africa
Angola,AGO,2016,41.79737854,-2.759886828,,1.01124E+11,3506.073128,36.81818182,,49.0080986,15.4,,90,62,,,,Africa,,Lower-middle_income,29,59.925,28842482,35.851,64.149,Sub-Saharan_Africa
Angola,AGO,2017,43.0016098,-4.764456221,,1.22124E+11,4095.810057,30.45454545,,56.18050003,15.4,,90,85,,,,Africa,,Lower-middle_income,32,60.379,29816769,35.161,64.839,Sub-Saharan_Africa
Angola,AGO,2018,45.29,-13.60522407,,1.01353E+11,3289.643995,30.45454545,,56.78549957,15.5,49.9,90,85,,,,Africa,51.3,Lower-middle_income,35,60.782,30809787,34.486,65.514,Sub-Saharan_Africa
Albania,ALB,2000,100,,4.616650105,3480355189,1126.683318,5.161290323,96.14901632,41.44499969,,,,,,,,Europe,,Lower-middle_income,,,,58.259,,Europe_and_Northern_America
Albania,ALB,2001,100,,6.134490013,3922099471,1281.659393,5.714285714,95.30831099,39.12530136,4.9,,84,,,,,Europe,,Lower-middle_income,0.325798377,74.288,3060173,57.565,42.435,Europe_and_Northern_America
Albania,ALB,2002,100,,,4348070165,1425.124849,5.714285714,93.95398609,35.89580154,6.1,1.6,90,,,,,Europe,31.7,Lower-middle_income,0.390081273,74.579,3051010,56.499,43.501,Europe_and_Northern_America
Albania,ALB,2003,100,,8.301289558,5611492283,1846.118813,5.714285714,97.85657051,33.75170135,7.5,,90.4,,,,,Europe,,Lower-middle_income,0.971900415,74.828,3039616,55.427,44.573,Europe_and_Northern_America
Albania,ALB,2004,100,,9.07654953,7184681399,2373.579844,6.428571429,97.5026757,35.93470001,8.6,,89,,,,,Europe,,Lower-middle_income,2.420387798,75.039,3026939,54.349,45.651,Europe_and_Northern_America
Albania,ALB,2005,100,,,8052075642,2673.787283,7.142857143,98.71394452,36.86830139,8.9,0.9,91,,,,,Europe,30.6,Lower-middle_income,6.043890864,75.228,3011487,53.269,46.731,Europe_and_Northern_America
Albania,ALB,2006,100,,,8896073938,2972.743265,7.142857143,98.31643736,31.7098999,8.8,,96.5,,,,,Europe,,Lower-middle_income,9.609991316,75.423,2992547,52.185,47.815,Europe_and_Northern_America
Albania,ALB,2007,100,,,10677321490,3595.037163,7.142857143,97.48251748,32.10039902,8.3,,96.5,,90,15.7,16.4,Europe,,Lower-middle_income,15.03611541,75.646,2970017,51.098,48.902,Europe_and_Northern_America
Albania,ALB,2008,100,,11.10173035,12881354104,4370.540127,7.142857143,100,35.91189957,7.3,0.3,99.3,,90,12.5,13.7,Europe,30,Lower-middle_income,23.86,75.912,2947314,50.009,49.991,Europe_and_Northern_America
Albania,ALB,2009,100,1.29915361,12.94225025,12044223353,4114.140114,16.42857143,99.98077662,37.21519852,5.9,,,,91,12.1,15.6,Europe,,Upper-middle_income,41.2,76.221,2927519,48.924,51.076,Europe_and_Northern_America
Albania,ALB,2010,100,5.645156352,12.36398983,11926928506,4094.350334,16.42857143,99.98678647,37.11370087,4.9,,98.2,,91,12.7,15.8,Europe,,Upper-middle_income,45,76.562,2913021,47.837,52.163,Europe_and_Northern_America
Albania,ALB,2011,100,0.577822876,10.97243977,12890765324,4437.142885,15.71428571,98.59222143,35.96110153,4.1,,99,85.6,92,13.3,13.8,Europe,,Lower-middle_income,47,76.914,2905195,46.753,53.247,Europe_and_Northern_America
Albania,ALB,2012,99.9,-0.705349947,7.779250145,12319830252,4247.629984,15.71428571,100,40.04669952,3.5,0.8,99,99,92,14.8,11.5,Europe,29,Upper-middle_income,49.4,77.252,2900401,45.67,54.33,Europe_and_Northern_America
Albania,ALB,2013,100,2.840445943,4.581029892,12776217195,4413.060861,17.85714286,100,41.28699875,3.9,,100,99,93,17.8,13.4,Europe,,Upper-middle_income,51.8,77.554,2895092,44.613,55.387,Europe_and_Northern_America
Albania,ALB,2014,99.95,0.893148602,2.407959938,13228144008,4578.631994,20,100,38.69739914,4.4,1.6,99.8,99,93,19.9,15.5,Europe,34.6,Upper-middle_income,54.3,77.813,2889104,43.577,56.423,Europe_and_Northern_America
Albania,ALB,2015,99.98,0.380862706,2.201270103,11386846319,3952.801215,20.71428571,100,38.62559891,4.7,1.1,100,99,93,17.3,17.1,Europe,32.9,Upper-middle_income,56.9,78.025,2880703,42.566,57.434,Europe_and_Northern_America
Albania,ALB,2016,99.89,3.299739507,2.344579935,11861200797,4124.055726,22.85714286,,39.58729935,4.3,0.9,99.8,99,94,16.1,14.5,Europe,33.7,Upper-middle_income,59.6,78.194,2876101,41.579,58.421,Europe_and_Northern_America
Albania,ALB,2017,99.89,2.38489485,2.221590042,13019693451,4531.020806,27.85714286,,37.21979904,4.1,1.3,99.86,99.2,94,14.4,12.5,Europe,33.2,Upper-middle_income,62.4,78.333,2873457,40.617,59.383,Europe_and_Northern_America
Albania,ALB,2018,100,4.195362515,2.557790041,15147020535,5284.380184,27.85714286,,38.26639938,4,,99.86,99.2,94,12.6,11.9,Europe,,Upper-middle_income,65.4,78.458,2866376,39.681,60.319,Europe_and_Northern_America
United_Arab_Emirates,ARE,2000,100,,,1.04337E+11,33291.36625,0,0,0.076399997,,,100,,100,2.2,2.7,Asia,,High_income,,,,19.764,,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2001,100,,,1.03312E+11,31280.75586,0,0,0.0647,3.3,,100,,,,,Asia,,High_income,26.2717542,74.544,3302722,19.345,80.655,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2002,100,-5.842410747,,1.09816E+11,31567.54631,0,0,0.066500001,4.4,,100,,,,,Asia,,High_income,28.31648531,74.758,3478769,18.933,81.067,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2003,100,-0.52023227,,1.24346E+11,33499.10278,0,0,0.066299997,5.9,,100,,,,,Asia,,High_income,29.47795341,74.968,3711931,18.528,81.472,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2004,100,0.006314148,,1.47824E+11,36333.18733,0,0,0.100400001,7.7,,100,,,,,Asia,,High_income,30.13129617,75.174,4068577,18.129,81.871,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2005,100,-5.99223821,,1.80617E+11,39365.45964,0,0,0.1052,8.8,,100,,100,2.5,7.1,Asia,,High_income,40,75.376,4588222,17.738,82.262,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2006,100,1.92470111,,2.22117E+11,41907.42147,5,0,0.117399998,9.2,,100,,,,,Asia,,High_income,52,75.573,5300172,17.352,82.648,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2007,100,-7.916303352,5.52489996,2.57916E+11,41809.46216,22.5,0,0.112800002,9,,100,,,,,Asia,,High_income,61,75.767,6168846,16.977,83.023,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2008,100,-8.09853373,,3.15475E+11,44498.94051,22.5,0,0.110799998,8.2,,100,,,,,Asia,,High_income,63,75.957,7089486,16.613,83.387,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2009,100,-24.86945958,,2.53547E+11,32024.19778,22.5,0,0.107699998,7.4,,100,,,,,Asia,,High_income,64,76.145,7917368,16.258,83.742,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2010,100,-6.444762264,,2.89787E+11,33893.26387,22.5,0,0.109399997,6.3,,100,100,,,,Asia,,High_income,68,76.332,8549998,15.913,84.087,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2011,100,11.03489036,,3.50666E+11,39194.67224,17.5,0,0.109200001,5.5,,100,100,,,,Asia,,High_income,78,76.521,8946778,15.577,84.423,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2012,100,2.36525055,6.018020153,3.74591E+11,40976.49075,17.5,0,0.101800002,4.4,,100,100,,,,Asia,,High_income,84.9999915,76.711,9141598,15.251,84.749,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2013,100,6.895099978,6.708789825,3.90108E+11,42412.6395,17.5,0.094142456,0.102899998,3.6,0,100,100,,,,Asia,32.5,High_income,88,76.903,9197908,14.934,85.066,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2014,100,5.325413831,2.347579956,4.03137E+11,43751.80565,17.5,0.258307016,0.137700006,2.9,,100,100,,,,Asia,,High_income,90.4,77.095,9214182,14.625,85.375,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2015,100,-9.105682703,0.107929997,3.58135E+11,38663.4005,22.5,0.232401112,0.126399994,2.7,,100,100,,,,Asia,,High_income,90.5,77.285,9262896,14.326,85.674,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2016,100,0.281884399,0.59811002,3.57045E+11,38141.86713,22.5,,0.123000003,2.9,,100,100,100,1.1,4,Asia,,High_income,90.60000732,77.47,9360975,14.035,85.965,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2017,100,6.727179228,1.256880045,3.85606E+11,40644.79119,22.5,,0.173199996,3.2,,100,100,100,1.4,6.8,Asia,,High_income,94.81992254,77.647,9487206,13.752,86.248,Northern_Africa_and_Western_Asia
United_Arab_Emirates,ARE,2018,100,-3.072533365,,4.22215E+11,43839.32449,22.5,,0.259200007,3.4,0,100,100,100,1.3,5.9,Asia,26,High_income,98.45000178,77.814,9630966,13.478,86.522,Northern_Africa_and_Western_Asia
Argentina,ARG,2000,95.44536591,-2.069514863,0.431639999,2.84204E+11,7708.099115,26.45914397,33.15937465,9.847999573,,6.8,,,96,14.1,16.4,South_America,51.1,Upper-middle_income,,,,10.858,,Latin_America_and_Caribbean
Argentina,ARG,2001,95.51106347,-5.953193561,0.365260005,2.68697E+11,7208.373114,,41.82988404,11.50889969,3,10.7,30,,97,17.4,17.2,South_America,53.3,Upper-middle_income,9.780807285,73.755,37275644,10.671,89.329,Latin_America_and_Caribbean
Argentina,ARG,2002,96.04728699,-12.42521388,0.328449994,97724004252,2593.404563,30.73929961,43.56387577,11.61909962,3.8,16.9,,,97,20.1,18.8,South_America,53.8,Upper-middle_income,10.88212438,73.932,37681743,10.49,89.51,Latin_America_and_Caribbean
Argentina,ARG,2003,96.33463287,10.17494585,0.337709993,1.27587E+11,3349.8063,30.73929961,37.95175486,10.82460022,4.5,7.9,,,97,13.7,17.5,South_America,50.9,Upper-middle_income,11.91369655,74.107,38087866,10.314,89.686,Latin_America_and_Caribbean
Argentina,ARG,2004,96.61134338,-2.042500605,0.639660001,1.64658E+11,4277.721573,33.7254902,31.63480258,9.288700104,4,5.7,,,97,11.8,15.7,South_America,48.4,Upper-middle_income,16.03668411,74.28,38491970,10.14,89.86,Latin_America_and_Caribbean
Argentina,ARG,2005,96.87638855,6.378318335,0.441430002,1.98737E+11,5109.852245,36.18677043,33.52513485,9.643500328,3.7,4.2,94.1,,97,10,13.5,South_America,47.7,Upper-middle_income,17.72058337,74.451,38892924,9.969,90.031,Latin_America_and_Caribbean
Argentina,ARG,2006,97.13230133,19.99196917,0.266629994,2.32557E+11,5919.012338,35.01945525,37.1276984,9.180100441,3.4,3.3,94.1,,98,8.4,12.3,South_America,46.3,Upper-middle_income,20.9272021,74.62,39289876,9.8,90.2,Latin_America_and_Caribbean
Argentina,ARG,2007,97.38516998,11.27825379,0.128319994,2.87531E+11,7245.446857,40,29.84220081,7.716599941,3.3,2.6,94.1,,98,,,South_America,46.2,Upper-middle_income,25.94663294,74.787,39684303,9.634,90.366,Latin_America_and_Caribbean
Argentina,ARG,2008,97.64122009,4.713559764,0.182769999,3.61558E+11,9020.873323,40,26.3437058,7.651100159,3.3,2.5,,,98,6.5,9.7,South_America,44.9,Upper-middle_income,28.11262348,74.952,40080159,9.47,90.53,Latin_America_and_Caribbean
Argentina,ARG,2009,97.90668488,-8.371095491,0.207190007,3.32976E+11,8225.137583,38.52140078,28.92740262,8.590999603,3.3,2.3,,,98,7.8,9.8,South_America,43.7,Upper-middle_income,34,75.116,40482786,9.309,90.691,Latin_America_and_Caribbean
Argentina,ARG,2010,98.82,10.62923859,0.603730023,4.23627E+11,10385.96443,38.52140078,28.5854562,8.787500381,3.4,1.4,,,98,6.7,9.2,South_America,43.6,Upper-middle_income,45,75.278,40788453,9.151,90.849,Latin_America_and_Caribbean
Argentina,ARG,2011,99.0802002,7.885776042,0.565900028,5.30163E+11,12848.8642,37.3540856,32.30597044,8.833100319,3.3,1.1,,,99,6.2,8.5,South_America,42.6,Upper-middle_income,51,75.439,41261490,9.01,90.99,Latin_America_and_Caribbean
Argentina,ARG,2012,99.22885895,-2.664752073,0.571759999,5.45982E+11,13082.66433,37.3540856,29.26113532,8.611800194,3.1,1.2,,72.05,99,6.1,8.8,South_America,41.3,Upper-middle_income,55.8,75.598,41733271,8.879,91.121,Latin_America_and_Caribbean
Argentina,ARG,2013,99.35622406,0.864589653,0.408089995,5.52025E+11,13080.25473,36.57587549,31.48449072,8.913399696,2.8,1,,77.68,99,6.1,8.5,South_America,40.9,Upper-middle_income,59.9,75.756,42202935,8.751,91.249,Latin_America_and_Caribbean
Argentina,ARG,2014,100,-4.501896117,0.09804,5.2632E+11,12334.79825,36.57587549,31.5762042,9.781399727,,0.9,,80,99,6.5,8.4,South_America,41.6,High_income,64.7,75.913,42669500,8.623,91.377,Latin_America_and_Caribbean
Argentina,ARG,2015,99.81168365,3.924541342,0.056299999,5.94749E+11,13789.06042,,28.14006912,9.393199921,,,98,90,,,,South_America,,Upper-middle_income,68.04306411,76.068,43131966,8.497,91.503,Latin_America_and_Caribbean
Argentina,ARG,2016,99.95601654,-2.815488968,0.452389985,5.57531E+11,12790.24247,35.79766537,,9.376899719,2.6,1.1,98,95,,,,South_America,42,Upper-middle_income,70.96898082,76.221,43590368,8.373,91.627,Latin_America_and_Caribbean
Argentina,ARG,2017,100,4.58219842,0.432689995,6.43629E+11,14613.04182,38.13229572,,10.36849976,3.1,0.9,98,95,,7.5,9.5,South_America,41.1,Upper-middle_income,74.29490687,76.372,44044811,8.251,91.749,Latin_America_and_Caribbean
Argentina,ARG,2018,100,-3.1777836,,5.17627E+11,11633.49801,38.91050584,,10.52079964,3.5,1.4,98,95,,8.2,10.5,South_America,41.3,Upper-middle_income,,76.52,44494502,8.13,91.87,Latin_America_and_Caribbean
Armenia,ARM,2000,98.9,-0.248149045,,1911563669,622.7409229,3.053435115,21.16482041,7.162899971,,,,,,,,Asia,,Low_income,,,,35.334,,Northern_Africa_and_Western_Asia
Armenia,ARM,2001,100,8.998235943,,2118467913,694.4234554,3.053435115,16.84943429,5.418000221,26.1,14.4,38,,,,,Asia,35.4,Low_income,1.631094667,71.8,3050686,35.615,64.385,Northern_Africa_and_Western_Asia
Armenia,ARM,2002,98,15.41795049,12.86880016,2376335048,783.241215,3.053435115,30.04167422,8.897299767,24.5,10.5,,,,,,Asia,34.8,Lower-middle_income,1.960405046,72.112,3033976,35.764,64.236,Northern_Africa_and_Western_Asia
Armenia,ARM,2003,99.22579956,20.48487546,14.46957016,2807061009,930.1254727,4.580152672,36.02981276,9.809300423,21.1,7.9,83.4,,,,,Asia,33,Lower-middle_income,4.575217225,72.348,3017938,35.863,64.137,Northern_Africa_and_Western_Asia
Armenia,ARM,2004,99.24093628,10.96435088,,3576615240,1191.921006,5.34351145,33.13432836,8.705699921,16,5.5,84,,,,,Asia,37.5,Lower-middle_income,4.899008571,72.513,3000715,35.962,64.038,Northern_Africa_and_Western_Asia
Armenia,ARM,2005,99.8,15.60782648,11.38667011,4900469950,1643.756889,5.34351145,28.06712047,6.48939991,12.3,2.7,85.17,,,,,Asia,36,Lower-middle_income,5.252983352,72.626,2981262,36.062,63.938,Northern_Africa_and_Western_Asia
Armenia,ARM,2006,99.23873901,15.52356776,7.782350063,6384451606,2158.148074,5.34351145,30.71873422,7.650800228,9.3,2.1,87.8,,,,,Asia,29.7,Lower-middle_income,5.631787777,72.716,2958301,36.161,63.839,Northern_Africa_and_Western_Asia
Armenia,ARM,2007,99.23002625,17.90259719,2.920429945,9206301700,3139.28071,9.160305344,31.46829434,7.015200138,6.9,1.6,,,97,9.9,9.8,Asia,31.2,Lower-middle_income,6.021253397,72.815,2932615,36.261,63.739,Northern_Africa_and_Western_Asia
Armenia,ARM,2008,99.22450256,10.38866333,,11662040714,4010.861381,8.396946565,31.17850953,6.40320015,5.6,0.9,,,98,20.5,25.9,Asia,29.2,Lower-middle_income,6.21,72.946,2907615,36.36,63.64,Northern_Africa_and_Western_Asia
Armenia,ARM,2009,99.22839355,-21.36172505,,8647936748,2994.340471,9.160305344,35.67272086,7.798299789,4.6,1.3,95,81.1,98,17.3,19.7,Asia,28,Lower-middle_income,15.3,73.118,2888094,36.46,63.54,Northern_Africa_and_Western_Asia
Armenia,ARM,2010,99.8,1.909665489,,9260284938,3218.378299,9.160305344,39.48544138,9.357099533,4.3,1,98.9,93,98,17,21.2,Asia,30,Lower-middle_income,25,73.331,2877314,36.56,63.44,Northern_Africa_and_Western_Asia
Armenia,ARM,2011,99.60435486,2.772482116,4.846139908,10142111334,3525.807198,8.396946565,33.5397039,8.007200241,4,1.2,98,95,99,17.3,19.6,Asia,29.4,Lower-middle_income,32,73.572,2876536,36.66,63.34,Northern_Africa_and_Western_Asia
Armenia,ARM,2012,99.61703491,12.71497885,3.588239908,10619320049,3681.844691,10.6870229,28.94474863,6.563799858,3.6,0.9,99.8,96.3,99,16.5,18.2,Asia,29.6,Lower-middle_income,37.5,73.82,2884239,36.76,63.24,Northern_Africa_and_Western_Asia
Armenia,ARM,2013,99.42,2.97625636,3.411900043,11121465767,3838.17388,10.6870229,28.23605707,6.769999981,3.3,1.8,100,97.68,99,14.4,18.1,Asia,30.6,Lower-middle_income,41.9,74.056,2897593,36.836,63.164,Northern_Africa_and_Western_Asia
Armenia,ARM,2014,99.71,0.76970614,5.873119831,11609512940,3986.231624,10.6870229,25.75483871,7.080900192,2.9,1.5,100,98.8,99,15.7,19.4,Asia,31.5,Lower-middle_income,54.62280586,74.273,2912403,36.888,63.112,Northern_Africa_and_Western_Asia
Armenia,ARM,2015,100,-1.821256908,6.967420101,10553337673,3607.289299,10.6870229,28.33696628,10.7468996,2.8,1.3,100,99.9,100,17.4,19.2,Asia,32.4,Lower-middle_income,59.10083377,74.467,2925559,36.915,63.085,Northern_Africa_and_Western_Asia
Armenia,ARM,2016,99.8,-1.858265301,7.502560139,10546135160,3591.828052,10.6870229,,13.15149975,2.8,1.2,100,100,100,17.7,17.5,Asia,32.5,Lower-middle_income,64.34602977,74.64,2936147,36.918,63.082,Northern_Africa_and_Western_Asia
Armenia,ARM,2017,99.7,10.04310816,7.685790062,11527458566,3914.527854,18.0952381,,12.56260014,3.1,0.9,100,100,100,17.9,17.5,Asia,33.6,Lower-middle_income,64.74488433,74.797,2944789,36.897,63.103,Northern_Africa_and_Western_Asia
Armenia,ARM,2018,99.9,2.999776589,6.905220032,12457941907,4220.540321,18.0952381,,11.13300037,3.2,1.4,100,100,100,17.9,20.4,Asia,34.4,Lower-middle_income,68.24505226,74.945,2951741,36.851,63.149,Northern_Africa_and_Western_Asia
Antigua_and_Barbuda,ATG,2000,97.45578003,,,826370370.4,10872.29295,5.263157895,0,0,,,,,,,,North_America,,Upper-middle_income,,,,67.873,,Latin_America_and_Caribbean
Antigua_and_Barbuda,ATG,2001,97.60110474,,,800481481.5,10367.31961,5.263157895,0,0,,,,,98,8,8.8,North_America,,Upper-middle_income,8.899285515,74.171,77212,68.26,31.74,Latin_America_and_Caribbean
Antigua_and_Barbuda,ATG,2002,100,,,814381481.5,10401.05088,5.263157895,0,0,,,85,,,,,North_America,,High_income,12.5,74.395,78298,68.902,31.098,Latin_America_and_Caribbean
Antigua_and_Barbuda,ATG,2003,97.86569977,,,856396296.3,10797.95106,5.263157895,0,0,,,,,,,,North_America,,Upper-middle_income,17.22864878,74.613,79311,69.536,30.464,Latin_America_and_Caribbean
Antigua_and_Barbuda,ATG,2004,97.98262787,,,919729629.6,11446.96914,10.52631579,0,0,,,100,,,,,North_America,,Upper-middle_income,24.26654372,74.821,80347,70.163,29.837,Latin_America_and_Caribbean
Antigua_and_Barbuda,ATG,2005,92.2,,,1022962963,12557.54785,10.52631579,0,0,,,100,,,,,North_America,,High_income,27,75.019,81462,70.782,29.218,Latin_America_and_Caribbean
Antigua_and_Barbuda,ATG,2006,100,,,1157662963,13995.80442,10.52631579,0,0,,,100,,,,,North_America,,High_income,30,75.204,82715,71.394,28.606,Latin_America_and_Caribbean
